id;title;ios_url;ios_app_store_id;ios_app_name;android_url;android_package;android_app_name;windows_phone_url;windows_phone_app_id;windows_phone_app_name;description;google_product_category;product_type;link;image_link;condition;availability;price;sale_price;sale_price_effective_date;gtin;brand;mpn;item_group_id;gender;age_group;color;size;shipping;custom_label_0
2370;FD2033-52W;;;;;;;;;;"Adding to already considerable allure, it is precise to within 20 seconds each month and also features 3-year battery life, making it a reliable go-to piece suitable for all occasions.
";Watches;;https://www.thewatch.co/product/fd2033-52w;https://www.thewatch.co/img/product/6261/6261_medium.jpg;;;4799000;;;;Citizen;;;Female;;;;;
2369;FD2030-51H;;;;;;;;;;"Adding to already considerable allure, it is precise to within 20 seconds each month and also features 3-year battery life, making it a reliable go-to piece suitable for all occasions.
";Watches;;https://www.thewatch.co/product/fd2030-51h;https://www.thewatch.co/img/product/6260/6260_medium.jpg;;;3599000;;;;Citizen;;;Female;;;;;
2368;BJ6483-01A;;;;;;;;;;"Adding to already considerable allure, it is precise to within 20 seconds each month and also features 3-year battery life, making it a reliable go-to piece suitable for all occasions.
";Watches;;https://www.thewatch.co/product/bj6483-01a;https://www.thewatch.co/img/product/6259/6259_medium.jpg;;;3599000;;;;Citizen;;;Unisex;;;;;
2367;EM0502-86P;;;;;;;;;;"Adding to already considerable allure, it is precise to within 20 seconds each month and also features 3-year battery life, making it a reliable go-to piece suitable for all occasions.
";Watches;;https://www.thewatch.co/product/em0502-86p;https://www.thewatch.co/img/product/6258/6258_medium.jpg;;;2999000;;;;Citizen;;;Female;;;;;
2366;FE6088-87A;;;;;;;;;;"Adding to already considerable allure, it is precise to within 20 seconds each month and also features 3-year battery life, making it a reliable go-to piece suitable for all occasions.
";Watches;;https://www.thewatch.co/product/fe6088-87a;https://www.thewatch.co/img/product/6256/6256_medium.jpg;;;2799000;;;;Citizen;;;Female;;;;;
2365;FE6089-84A;;;;;;;;;;"Adding to already considerable allure, it is precise to within 20 seconds each month and also features 3-year battery life, making it a reliable go-to piece suitable for all occasions.
";Watches;;https://www.thewatch.co/product/fe6089-84a;https://www.thewatch.co/img/product/6255/6255_medium.jpg;;;2999000;;;;Citizen;;;Female;;;;;
2364;FE6050-55A;;;;;;;;;;"Adding to already considerable allure, it is precise to within 20 seconds each month and also features 3-year battery life, making it a reliable go-to piece suitable for all occasions.
";Watches;;https://www.thewatch.co/product/fe6050-55a;https://www.thewatch.co/img/product/6254/6254_medium.jpg;;;2799000;;;;Citizen;;;Female;;;;;
2363;FE6053-57W;;;;;;;;;;"Adding to already considerable allure, it is precise to within 20 seconds each month and also features 3-year battery life, making it a reliable go-to piece suitable for all occasions.
";Watches;;https://www.thewatch.co/product/fe6053-57w;https://www.thewatch.co/img/product/6253/6253_medium.jpg;;;3899000;;;;Citizen;;;Female;;;;;
2362;EM0504-81A;;;;;;;;;;"Adding to already considerable allure, it is precise to within 20 seconds each month and also features 3-year battery life, making it a reliable go-to piece suitable for all occasions.
";Watches;;https://www.thewatch.co/product/em0504-81a;https://www.thewatch.co/img/product/6252/6252_medium.jpg;;;2699000;;;;Citizen;;;Female;;;;;
2361;EX1470-86A;;;;;;;;;;"Adding to already considerable allure, it is precise to within 20 seconds each month and also features 3-year battery life, making it a reliable go-to piece suitable for all occasions.
";Watches;;https://www.thewatch.co/product/ex1470-86a;https://www.thewatch.co/img/product/6251/6251_medium.jpg;;;2999000;;;;Citizen;;;Female;;;;;
